 0.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 -10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 12.0, 0.0, 40.0, 0.0, -50.0, 0.0, 
-12.0, 0.0, 50.0, -90.0, -90.0, 0.0,
  0.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
 0.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 -10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 12.0, 0.0, 40.0, 0.0, -50.0, 0.0, 
-12.0, 0.0, 50.0, -90.0, -90.0, 0.0,
  0.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 -10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 12.0, 0.0, 40.0, 0.0, -50.0, 0.0, 
-12.0, 0.0, 50.0, -90.0, -90.0, 0.0,
  0.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
 0.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 -10.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
 12.0, 0.0, 40.0, 0.0, -50.0, 0.0, 
-12.0, 0.0, 50.0, -90.0, -90.0, 0.0,
  0.0, -50.0, 0.0, 0.0, 0.0, 0.0, 
